black blackness blacken	white
individual unity exclusive undivided single one	common multiple married double
resist dissent protest differ objection disagree	agree assent
behave lead acquit bear channel conducting deal transmit carry deport	
elect elite	
utilize use hold enforce apply give employ practice	defy exempt
force stick submarine hoagie grinder hero lodge sub bomber	dislodge
skill acquisition science accomplishment	
support endorse certify back second	
upper speed amphetamine	
inflate expand balloon amplify	deflate
garner granary	
invite receive tempt bid	
sight spy sighting	
blood origin bloodline pedigree stock descent lineage ancestry line rake	
alignment alliance conjunction coalition	
lam bunk evasion run elude leak dodging miss leakage escape	
fore forward stem bow	aft
hogwash bunk guff rot	
globe revolve eyeball orb ball orbit	
censored censor ban	
acknowledgment credit mention quotation reference citation recognition credits	cash debit
undetermined indeterminate	
trunk body consistency torso	
overrun invade	
spare spar save	
infuse plunge steep engulf absorb immerse	
extra replicate matching parallel double repeat twin duplicate	
sandbag dragoon railroad	
courtroom courtyard woo tribunal homage court romance solicit	
make stimulate rush cause hasten have induced induce get	spontaneous
overcast cloud clouded	
swimming float drown swim liquid	sink
feigning pretence pretense pretending model simulation	
horror revulsion repulsion	
dispossessed homeless	
nefarious villainous	
oft oftentimes frequently often	rarely
trace discover name report account draw key distinguish depict describe	
issue offspring progeny	
tropical tropic	
seize assume usurp	
sympathy understanding	
make establish launch constitute found base demonstrate give	disprove abolish
serve do answer suffice	
discrepancy variation edition version variance strain variant form	
certainly sure surely	
pit perdition	
delivery bringing pitch saving speech rescue livery deliverance	
heavy overweight fleshy	
point grade stage level degree	
rally conscription summon draft muster	
gynaecologist gynecologist	
intoxication poisoning drunkenness	
stunned astonished astonish amazed astound astounded amaze	
person somebody someone individual psyche mortal soul	
blackmail blackjack pressure	
attain reveal see identify strike observe disclose describe name break	
painfully sorely	painlessly
preclude prevent foreclose forbid	
dress snip dressing garment arrange binding decorate do set	undress
hawthorn haw	
nightgown nightdress nightie gown	
shipping transport fare conveyance deportation transportation transfer transit exile	
see contain hold curb ascertain master manipulate moderate control	uncontrolled
cautious timid conservative	brave
hap bump occur befall find happen chance materialize pass encounter	
acquire won succeed advance win gain	lost fail lose
reject disapprove	approve
aggravate worsening worsen deterioration decline	better
repute esteem reputation	
coil curl loop	
motivate move propel incite prompt	
decorate adorn deck embroider ornament embellish lard grace pad	
press contend struggle push agitate crusade oppose defend fight campaign	
trace discover name report account draw key distinguish depict describe	
release air blowhole outlet vent volcano ventilate	
bookman scholar student learner	
praise kudos congratulations	criticize
jostle thrust squeeze shove stuff	
stated declare declared hold announce	
bubbling scintillating twinkle glittering frothy sparkle sparkly winkle	
preview trailer	
funded fund	
hunter huntsman	
print release write issue publish	
wrap wrapping wind twine wrapper enclose roll	unwind unwrap
cradle rocker	
opus piece report makeup writing theme composing constitution paper composition	
make grade scotch account grievance hit grudge seduce mark score	
swoosh swish lap	
telly television tv video	
gliding sweep glide navigation voyage sail navigate soaring sailing	
setup apparatus	
intensify escalate	
swag astounding staggering stagger astonishing lurch reel distribute keel flounder	
angelic gratifying scented perfumed fresh sweet sweetened	salty sour dry
stay uphold retain remain extend cover preserve continue proceed	discontinue
prolong sustain extend	
basement cellar	
sharper sharpie	
vivid acute intense	mild
perfection paragon god idol	
grumpy cross crabby fussy grouchy	
villain scoundrel	
mourning bereft bereaved grieving	
outlive survive outlast	
shank cannon	
betting degraded degenerate scatter dissipated sporting disperse fast dissipate fritter	
acceptable satisfactory	unacceptable
imagine think guess suppose reckon	
gleam glimmer glint glitter glow gleaming shine	
duty responsibility province obligation	irresponsibility
reasoned sound argue reason conclude	
disloyal unpatriotic	loyal patriotic
reluctant averse loath	
frail imperfect weak progressive	perfect
grain texture	
adage proverb saw	
similarly likewise	
gallop extend	
smelling smack sense smell reek	
kip sleep slumber	wake
hated despised scorn disdain despise detested scorned	
speculate contemplate mull ponder meditate reflect muse	
gravestone headstone tombstone	
rise revive raise resurrect	
whizz purr whiz whir	
mend jam deposit cook get location pickle set mending	break
sea ocean	
office potency confidence authorization bureau authority assurance agency sanction authorisation	
digress stray weave wander range vagabond tramp swan ramble roam	
tire tyre	
reference propagation extension wing annex	
cent penny	
specify specialise specialize differentiate specialized specialised narrow	diversify
constant ceaseless incessant perpetual	
dimension property attribute proportion	
dot sprinkle scatter disperse dust splash patter spatter spit	
battleground field battlefield	
gilded deluxe luxurious princely opulent sumptuous grand	
expectation prospect anticipation outlook	
clubbing club bludgeon	
injurious hurtful	
design pattern blueprint draft draught	
posture sitting seated seat model seance sit	arise standing stand
refinement elaborate polish refining complicate down refine purification rectify	
whacko wacko nutter	
look depend calculate bet count reckon	
attorney lawyer	
after afterward afterwards subsequently later	
packer bagger boxer	
stimulate speed hasten hurry hie rush induce expedite race	linger
pass fade languish wither melt fleet fading	
cycle bike bicycle wheel pedal	
wop dago guinea	
rouge paint	
dress harvest snip craw crop browse cultivate work range clip	
behaviour demeanor demeanour conduct behavior	
castaway outcast pariah	
pap nipple tit teat	
infirmary hospital	
decadence degeneration	evolution
stud dot sprinkle superman scatter disperse pane acid dose dust	
treble soprano	
fly flank backstage wing extension annex offstage fender	
run work go operate serve officiate function	malfunction
press movement agitate push run crusade cause drive safari fight	
morals ethic morality ethics	
blackbird merle	
rival affect meet stir affected impact pertain tint	unmoved untouched
orbit sphere range revolve field orb area reach scope compass	
coordinating organize coordinate organise align	
division partition zone	
hankering ache pine yearn languish yen	
sturdy hardy uncompromising stout stalwart inflexible tough	compromising
joined match couple linked mate pair coupled twin copulate	
dumb speechless mute silent dense obtuse slow dim dull	
fiddle shirk	
inadequate forgetful little light poor curt short shortsighted	tall long
centre center pore concentrate rivet focus	
pizzazz oomph zing	
deadly poisonous virulent venomous vicious	
sweetness dessert sweet	
virtue merit deserve	
checked check checkered checker	
broom cross tangle swing sweeping drag sail sweep span wholesale	
cold inhuman	
inspire instigate incite prompt	
daemon demon fiend daimon devil	
hypnotized intrigue enchant fascinated fascinate spellbound mesmerized grip trance capture	
flush affluent wealthy loaded	
profoundly bass inscrutable thick mysterious cryptic deep deeply rich	shallow
discretion prudence	
tunnel burrow	
muscle brawn	
thorax chest bureau breast dresser	
top fling extend happen exit authorize flip	running fail failing
receive welcome invite incur obtain find encounter standard experience have	
sneaker sneak snitch fink canary	
liberated liberate emancipated	
mediocre average fair	
hotdog wiener dog frank weenie	
nog stick pin leg peg nail	
celebrate keep observe fete	
pile heap stack	
poking jabbing stab jab thrusting thrust prod dig poke	
christ messiah	
hawker falconer	
burden stretch loading shipment cargo charge dilute payload consignment	unloading
stranger unknown alien	acquaintance
injection shot	
roofing roof	
transparent gossamer lucid sheer crystalline	
hear mind listen heed	
issue growth emergence egress	
scallop cutlet	
jester chump gull dupe sucker cod sap shoot fritter mug	
interrupt disrupt	
mayhem havoc	
worship idolized worshipped idolize adored revere	
meanwhile meantime lag interim	
selling deal trade betray marketing merchandising sell	buy
rib roast knock roasted joint ridicule guy	
deserter rebel turncoat renegade	
chip nick	
collide jolt shock jar clash	
mount rise climbing wax climb mounting	wane
force coerce cart pressure haul whole drag hale squeeze	
everlasting perfect utter virginal stark virgin saturated complete unadulterated	impure
puffing huffing snort snorting puff huff	
pat rap blame tap knock belt pink strike whack	
delivery incline pitch tar hawk sky cant deliver monger lurch	
transport enchant dishonour dishonor outrage ravish assault rape delight violate	
persuade sway carry	dissuade
proper right	improper
salute greeting salutation	
bear comprise contain hold curb moderate carry take control incorporate	
dog frank hotdog chase hound heel tail tag trail track	
poof fagot pansy faggot fag queen fairy queer nance	
convince change exchange commute convert	
cot trot pony crib	
wiz hotshot wizard superstar sensation whizz champion star genius adept	
virtually nigh near almost most close about nearly	far
equivalent tantamount	
move proceedings go proceeding continue proceed keep	discontinue
adaptation rendering variation edition reading version translation interpretation variant	
sodomy buggery	
attack attempt essay seek endeavor undertake try effort endeavour	
avail help aid serve facilitate assist	
off dispatch murder hit slay remove	
saucy smart fresh impertinent extraneous sassy wise impudent immaterial pert	
rationale principle	
charged supercharged advance boost	
unsympathetic closed disagreeable unappealing	sympathetic
trap lurk ambush	
qualify limit curb confine restrict bound throttle restrain	
gratefully thankfully	
quartet quadruple	
coconut coco	
tense strain	relax lax relaxed
bland flat insipid vapid	
twain twosome dyad couplet couple duet pair duo span yoke	
stream swarm flow pour current pelt	
lovable loveable	hateful
carpet carpeting rug	
cower huddle powwow	
reassure reassuring assure	worry
tuning tune	
unrelenting relentless unyielding tenacious persistent dour haunting lasting dogged	
reciprocal mutual	
evidently obviously patently knit complain apparent unmistakable	cheer patterned fancy
galactic astronomical	
rule decree fiat edict order	
unrequited unanswered	
piston plunger diver	
vaccinated vaccinate	
sortie sally crack	
sound phone reasoned profound legal voice healthy intelligent	unsound silence
swinger tramp	
render portray draw show depict describe picture	
pick beak peck smack nag	
shanghai impress	
molecule atom particle speck	
adore adored worshipped idolized	
order mark score range rate ranked place grade rank graded	
raging savage wild waste unfounded godforsaken untamed idle barbarian	tame
dike dyke butch dam	
vacation holiday	
impasse standstill deadlock stalemate	
crumple founder break burst collapse give crumble tumble crack	
assume copy model feign imitate sham simulate	
receive observe bump feel incur find happen chance detect	lose
allegiance dedication loyalty commitment	disloyalty
laboratory lab	
carelessness neglect negligence	
crumple pucker knit rumple knitting plain	
pop cleanup down killing defeat kill obliterate	
digger excavator shovel	
sphere heavens firmament	
cosmetic decorative ornamental	
defame slander sully smear	
shed spill talk slop splatter	
guzzling guzzle gulping	
crone witch hex enchant enchantress hag jinx glamour	
vet veteran seasoned	
bowl arena stadium	
occupy vex interest headache worry trouble concern care	reassure
nut eggs egg testicle ball	
successive straight consecutive sequential serial	
hanging fall suspension advert hang flow dangling cling attend	
runoff overflow flood overrun outpouring	
canvas rag sheet tabloid plane canvass sail shroud tack	
nice prissy dainty squeamish	
draw strand string chain twine train strings thread	
customer client	
investigate enquire inquire	
backstage wing offstage	onstage
see date appointment escort engagement	
house theater theatre household home firm mansion family sign menage	
plaza piazza place	
shun ban censor banning banish forbidding	
booby dummy dumbbell dope blank pinhead boob	
waterman boatman	
supply render provide furnish	
zippy live spanking snappy lively vital bouncy resilient racy	dull
tap bug wiretap intercept	
perfected perfect hone	
chaotic disorderly	
sorting sort classification classify screen separate sieve class	
pretty jolly reasonably somewhat moderately fairly	
monkfish angler lotte	
everlasting perfect utter virginal stark virgin saturated complete unadulterated	impure
law jurisprudence	
harry chevy harass molest beset provoke plague hassle	
jealous envious	
risen mount rear rebel resurrect rise surface	wane fall set
cross intersect	
printer pressman	
fierce rough boisterous unruly	
just honest bonny carnival fair reasonable mediocre	foul unfair unfairly
wavering waver reluctance falter hesitation faltering	
make bull shit bullshit shite turd dirt stool poop defecate	
gun hitman shooter accelerator gunman gunslinger gas throttle torpedo artillery	
crumple crumpled pucker crease buckle knit collapse dented crumble wrinkle	
stamp stump stomp	
pillar column editorial tower	
drunkenness alcoholism	
top transcend exceed overstep pass trespass	
levitate linger loom vibrate hover brood	
atone repent rue regret	
loot swag award pry jimmy respect booty prize trophy	disrespect
rule regulation regulating ordinance	
centre center pore concentrate sharpen rivet focus direction stress	blur
loony haywire buggy cracked daft barmy crackers bats batty balmy	
sidekick buddy brother pal comrade chum	sister
bare mere simple	
reclaim reform rectify regenerate	
grub pat chow puke sick barf vomit eats spew honk	
advertisement advertising advert ad	
zing oomph pizzazz	
cad hound list dog heel	
conflict contradictory conflicting	
clearly distinctly understandably clear	
debut entry introduction establish launch plunge found launching unveiling	abolish
noodle dome bean noggin attic	
extra special additional spare redundant superfluous surplus duplicate excess	
manner way title vogue panache dash trend flair style mode	
reveal endanger disclose break expose display uncover peril divulge	cover
colourful colorful	colorless
insight brainwave brainstorm	
stare regard gaze	
baked bake parched scorched	
apply implement enforce impose	exempt
medley potpourri	
fierce ferocious cutthroat boisterous rough savage violent tearing furious	
mop dab swab	
adorable lovely endearing	
hitman gun shooter gunman gunslinger torpedo	
bright intense brilliant graphic lifelike vivid pictorial	
ensue result ensuing	
patent patented	
fortune fate portion circumstances luck destiny lot	
psychoanalysis analysis	synthesis
rabbit hare	
trumpet cornet horn trump	
clink chink check tink click tinkle	
ground world earth globe land	
wealth riches	poverty
earpiece phone	
subvert counteract break undermine soften dampen sabotage damp	strengthen escalate
blow crow boast bragging crowing gas brag tout bluster	
leach strip	
justly rightly right	unjustly
central primordial key aboriginal primal primeval cardinal fundamental	
excel surpass	
avenue boulevard	
freelancer freelance independent	
century coke blow hundred cesium c snow carbon	
confuse mingle patchwork smother scramble jumble muddle clutter	
lineman electrician	
physical forcible	
unfit disqualify unsound bad	fit qualify
force pull pluck twist tear puff drag draw	push repel
snuggle nest cuddle	
tissue weave	
thieving stealing larceny thievery theft	
swing sway persuade carry shake rock	
option selection pick extract survival choice	
normally commonly usually ordinarily	remarkably
feller lumberjack	
contempt scorn spurn disdain despise despite reject	
hitter slugger batter batsman	
repent regret regrets sorrow rue	
groovy smashing break fracture bully keen neat peachy collapse check	
primary elementary elemental	
shake milkshake	
reclaim amend correct remedy reform repair refine rectify right	falsify
swerve arc crook curved arch twist curve kink trend	straight
limelight spotlight glare	
assassin bravo	
nose intrude jimmy pry prize lever poke	
exclude close shut	admit open
longing ache long yearn pine languish yen yearning	
certificate certification credentials	
treble dual soprano double triple	
everyday unremarkable routine mundane	
blow boast gas brag tout bluster	
sum core centre center meat heart gist substance kernel nub	
groove chase crease rut furrow seam wrinkle line	
digger excavator shovel	
wad batch spate mountain strike flock raft deal heap pot	
swerve yaw curve swerving trend cut veer sheer slew	
vantage advantage	disadvantage
ding prick gouge nick scratch dent slit incision	
blast attack flaming fuel terminate flame dismiss kindle burn	hire
flux mingle mixture fuse meld ruffle combine shuffle merge integrate	
leftover funny odd uneven left rum rummy unmatched curious	even
restoration redevelopment renovation overhaul	
link affiliate connect associate consort relate	
omelette omelet	
loot lolly cabbage sugar moolah dough shekels clams dinero lettuce	
send air glow broadcast transmit shaft beam ray radiate shine	
spud blast inject film buck take scoot dash flash tear	
peanuts goober peanut	
deceitful fraudulent	
scent perfume scented perfumed sweet	
talk babble tattle blab sing peach whistle	
literature lit	
mumble gum glue	
disgust revolt sicken	
xerox photocopy	
boiler kettle	
trite livestock broth pedigree strain stockpile breed store inventory origin	
paramour concubine courtesan	
glow radiance beam burn radiate glowing shine	
alleged aver supposed say	
bunt butt bunting	
why wherefore	
path rout gouge road root itinerary expel route	
nut fruitcake crank crackpot screwball	
stonewalling stonewall	
dirty lousy contaminating filthy cheating muddy dingy foul sordid	clean
sun sunlight cheer sunshine	
mountain mount rise wax climb ride backing setting	wane
tumor tumour	
eggshell shell	
decide decided determine distinct settle resolve	
see learn listen try discover hear	
swing sway carry persuade shake tilt rock	
oblige hold reconcile lodge admit fit accommodate adapt suit	
suffer subscribe backing stand keep reinforcement sustain patronize supporting	negate
smartness smart brightness swank cleverness chichi chic	
smithy forge	
festival fete	
triad trine leash trey threesome trio three trinity	
wickedness sinning sin goof hell blunder trespass sine boob	
b barn	
impending imminent	
have bear deliver birth	
region land kingdom realm	
expanse arena country region domain field area sphere orbit	
file read registry show record register	
blurt sin goof ejaculate blunder fumble boob	
withdrawal insulation separation detachment breakup	
debut reveal entry introduction uncover launching unveiling unveil	veil
bear allow permit brook tolerate suffer endure digest stomach stand	
vow order consecrate consecrated give dedicate commit bless	desecrated desecrate
spoil mare mar mutilate maria	
overturn override overrule overthrow reverse	
capsize turtle	
uproot annihilate extinguish eradicate decimate exterminate eliminate	
advisor adviser consultant	
dollar hitch buck tear charge jerk shoot clam horse	
press matter weigh count consider	
singularity uniqueness	
kneel kneeling	
hitman shot shooter gun gunman gunslinger torpedo	
banner standard	
trespass invasion intrusion violation	
bootlegging bootleg	
pedestal base stand	
jet spring outpouring fountain	
behave move do work represent act pretend play	refrain
mouse spook sneak crawl fawn crawling cringe cower weirdo creeping	
tattered shattered	
copy imitate simulate	
defence denial defense	prosecution
acquire succeed advance winnings profits win gain	fail lose
bit fries flake chip fleck chips microchip check nick crisp	
sump cesspool sink	
discus saucer discourse discuss	
neutralise waste liquidate neutralize	
acquaint nowadays stage deliver introduce face award salute portray represent	
faker fraud imposter pretender pseudo hoax humbug fake sham impostor	
sketch outline	
father sire	
beat utter dead drained bushed stagnant idle numb	live alive
lecture jaw scold talk chide rag berate rebuke reprimand	
wholly completely whole totally entirely altogether all	partly some
stay continued uphold retain remain extend cover preserve	discontinued discontinue
pave paved	
fistfight fisticuffs boxing	
contagion infection transmission	
sausage blimp	
distressing drab dismal sad sorry blue dingy lamentable deplorable gloomy	
undermine cave	
homeland motherland fatherland	
whine creak screech squeak whimper	
resume review sight study follow view appraise sketch survey	
pinkie pinky	
receive suffer cause get sustain ingest deliver	refuse lack abstain
whelp pup	
accomplice confederate	
sum core centre center meat heart gist substance kernel nub	
cot crib	
tempo footstep gait step pace rate yard tread stride	
transmitter sender	
kip sleep slumber	wake
dot virulent superman blistering pane dose acid acidic caustic bitter	
riot rioting	
off dispatch murder hit slay remove	
squeak squeaking squealing screech whine creak squeaky	
plus increase summation gain addition	
bargain deal buy steal	
gelatin gel mousse	
thoroughly good soundly	
terrible unspeakable awful atrocious painful abominable dreadful odious detestable	
blunt rude petroleum oil vulgar primitive stark rough crude	refined
sweetheart smasher stunner dish sweetie lulu knockout looker peach steady	
live exist surviving outlive survive endure go last outlast	succumb
belittle minimize minimise	maximize
inept tactless	tactful
carpet carpeting rug	
squat chunky stumpy dumpy	
fibbing fib	
everlasting utter gaze stark complete asterisk stare unadulterated consummate star	
coke snow blow snowfall	
taster sampler	
compress agitate wardrobe urge jam squeeze press campaign conjure pressure	
inspire cheer urge recreate barrack sunshine	complain
tighten quash reduce thin repress concentrate dilute cut	expand gain
begin commence part depart start pop originate initiate	end stop
column editorial	
sadly woefully	
annually yearly	
shaft spear lance gig	
swimming float drown swim	sink
oil anoint	
jeweller jeweler	
leer sneer	
powered power	
spreader broadcaster	
boy son	daughter girl
elaborate refine complicate	simplify
divert degenerate depart pervert deviate vary aberrant deviant	conform
auxiliary aide	
oblige compel	
away off forth forward onward	
policy insurance	
ammo ammunition	
plummet plump plumb	
bury drop lapse slump dip subside pass sink settle	float
theatrical representation	
cushion soften pilot buffer buff fender	
i unity single one ace iodine	
hovel hutch domicile shack shanty trail hut reside	
bow defer remit postpone table submit	
creek brook	
stuff block farce dressing lug thrust shove binge gorge squeeze	
agree hold harmonize concord agreement harmony accord concur consort	disagree
gangway aisle	
childish infantile	
quarters canton billet fourth stern tail draw poop quarter	
gran nanna nan grandma grandmother granny	
graft bribery	
dealer trader monger	
swagger cock ruffle strut prance sashay	
persistence perseverance tenacity	
apathy numbness indifference	
qualify characterize dispose restrict specify modify condition	disqualify
dedication lettering inscription	
hire enlist lease engage charter prosecute wage pursue	fire disengage
ripe grow mature matured age ripen	green immature
span bridge	
troll trolling round	
boy son	girl daughter
quarrel trash scrap dispute junk	
enmity antagonism hostility	
chaff banter josh jolly kid	
sight spy sighting	
smooching cuddling caressing kissing necking snuggling hugging fondle caress fondling	
comply follow	
reject disapprove	approve
nationwide nationally	
sentinel scout sentry finder lookout spotter watch picket	
car machine automobile auto motorcar	
unload offload	
accentuate stress emphasize emphasise idiom dialect accent emphasis	
bomb dud turkey joker	
counselor counsel counsellor advocate	
rupture flop break wear burst bout fizzle bust tear	repair
audit inspect	
djinn genie	
brain wit mastermind psyche nous mentality genius brainiac head mind	
pat puke sick barf vomit spew honk cast chuck purge	
chunky lumpy	
satisfy take filling fulfill occupy meet fulfil fill	empty
court courtroom	
punch plug	
curie ci	
mined mine	
ludicrous preposterous cockeyed ridiculous idiotic absurd nonsensical laughable	
like liking care wish	dislike
devotion veneration	
iniquity wickedness malevolent vicious immorality evil malign	good goodness
berth strip skid cutting pillowcase mistake shimmy slip teddy case	
particular special funny odd rum rummy curious singular peculiar queer	
dismay alert alarming alarm	
meanness tightness closeness	
chains press iron irons	
werewolf wolfman	
plume pride congratulate	humility
proctor monitor supervise reminder	
fizzy fizzing foam sparkle froth fizz	
absurdity silliness	
apt liable	
cream clobber flutter thrash bat lick	
lethargy phlegm indifference	
titty front bosom tit summit breast chest boob knocker	
booger bogeyman boogeyman	
sitter babysitter	
stunted scrawny stunt	
prophesy preach	
particular finicky picky fussy	
tart prostitute whore harlot	
ignorant unwitting unintentional unplanned	
respond react oppose	
vicinity neighbourhood locality neighborhood	
assuage relieve pacify alleviate placate quench appease gentle	
trash scrap pan junk	
cop snitch grass shit denounce stag betray rat shop hook	
failure loser bankruptcy	success
allow ply render offer cater provide furnish leave supply	
secure unafraid fearless	insecure afraid
hire lease charter engage take rent	
fire fuel	
cant vulgar lingo vernacular jargon slang common	
acquaintance ally friend admirer supporter booster champion protagonist	stranger foe
recourse resort safety refuge asylum sanctuary	
bleat baa	
hated detest despised hat detested scorned hate	love
shelf defer remit postpone ledge table	
centre center heart optic middle eye eyes eyeball	
loony mild haywire buggy cracked soft daft barmy crackers loopy	
powerfully strongly	
hooligan bully ruffian tough rowdy	
virulent deadly lethal mortal pernicious deathly venomous	
aurora daybreak sunup dawn sunrise dawning morning	sunset
untoward indecent unseemly unbecoming	decent
virtually nigh near almost most intimately closely about nearly	
defame slander cloud smear corrupt defile tarnish sully stain taint	
repose reclining	
opportunist opportunistic	
exclaim cry shout outcry proclaim	
loot strip foray go pillage ransack rifle plunder	
stockholder shareholder	
regaining restitution return regain find recover retrieve restoration	lose
order state evidence tell recite differentiate narrate distinguish separate recount	
progress procession progression advance advancement	retreat
mount rise wax climb mounted ride	wane
applaud acclaim spat clap	boo
bloody bally flaming crashing blooming fucking blinking	bloodless
channel bring bestow transmit add contribute lend conduct give impart	
steamer steam stung irritated riled peeved pissed miffed steamed annoyed	
spotlight fleck discern pip smear distinguish position place patch situation	
digit figure finger	
dozer bulldozer	
ultimately finally	
bellyache shout roar cry holler bellow scream gripe bitch holla	
identical very indistinguishable	fraternal
detected observe find notice detect discover	undetected
bouncing live bouncy peppy resilient lively zippy spirited	
filet fillet	
aim discipline school educate coach prepare cultivate rail gear take	
mainly principally primarily chiefly	
awol truant	
gallantry heroism valor valour	
ciao aloha	
revolutionary theme base ultra extremist basal root stem radical group	
cod codfish	
rattling rattle	
letter lettering inscription	
spot smudge blot slur blur smear	
counter generate restitution regress pass retort regaining deliver recurrence takings	
cold coldness	hotness
obstruction obstacle	
fragrance corsage bouquet sweetness	
rocket arugula	
bowl arena stadium	
tumult ruckus rumpus commotion din	
bodyguard escort	
bellhop bellboy bellman	
deem hold	
fortress fort	
berm shoulder	
relocated relocate	
break hesitate pause	
parcel share bundle packet portion package tract	
undisputed unchallenged	
hop skip hops	
frat fraternity	
lean incline run tend	
nigga nigger coon spade	
rupture flop break wear burst bout broke fizzle bust	repair
placid quiet smooth still serene calm tranquil	
electric electrical	
titty front bosom tit summit breast chest boob knocker	
likely probably	incredibly
cycle bike wheel bicycle pedal	
honor laurels observe purity award reward respect honours	dishonor disrespect
decorate adorn deck ornament embellish grace	
harsh common vulgar coarse uncouth	fine
spout effusion jet flush outburst spurt rave gush outpouring	
deliver grant concede surrender cede yield	
discovery find breakthrough	
neighbour neighbor	
mood temper humour humor wit	
regent trustee	
sound part voice spokesperson interpreter representative	
tendency inclination temperament disposal disposition	
invest authorize gift empower authorise	
turnout side siding	
remake redo	
fart farting wind	
mod modern	
melt unfreeze thawed dissolve thaw	
intrigue enchant fascinate grip trance capture entrance catch charm	
fly disappear vanish fell vanishing vaporize	appear
sludge goo ooze gook gunk muck goop slime	
cross hybrid	
intent intention aim use propose determination design purpose function role	
decree prevail dominate harness rein find ruled rule govern reign	
hole pickle smother fix jumble jam puddle mess muddle clutter	
galley caboose	
wow riot scream	
smack slap smacking thwack reek peck smell taste	
con swindle memorize learn defraud rook diddle memorise gyp scam	
chile chilli chilly chili	
density meanness tightness closeness concentration	distribution
feature characteristic	
spud potato murphy tater	
salute present toast pledge drink	
lad feller fella fellow chap bloke lumberjack gent cuss	
ego self	
ab abdominal	
hook pluck plume soak rob fleece	
fawn crawl cower huddle cringe grovel creep	
fabricate formulate forge invent manufacture devise	
paradigm image epitome prototype	
acquit expect extend deport stockpile transport contain run transmit sway	
tiffin luncheon lunch	
ascension heighten advance jump prove develop	set wane fall descent
bottom rump march stern fanny tush ass border posterior cigarette	
ugly surly	
abject scurvy miserable low	
emphasise emphasize underline	
tan suntan sunburn burn	
parlour parlor	
groovy capital sterling smashing big outstanding keen bully neat peachy	
resplendent glorious splendid	
dishonour dishonor outrage ravish incensed assault offend desecrate rape indignant	
blunt mute dulled dampen dull pall damp numb	sharpen
make pissing pee puddle wee urinate peeing urine piss water	
collaborate cooperate	
belief notion impression opinion feeling	
imbecile retard cretin delay check changeling slow moron idiot	accelerate
heat hotness	coldness
clop thumping thud clunk thump clump	
rubber safety arctic safe gumshoe condom	
buddy brother pal sidekick chum	
awfully awful terribly frightfully	
wrong falsely wrongly incorrectly	correctly right
trappings furnishing housing trapping	
venue locale locus	
indentured bound	
harry chevy harass molest beset provoke plague hassle	
yip yelping yap yelp	
unknowingly unwittingly inadvertently	knowingly
contend deal coping cope manage header grapple	
shout cry scream holler yell squall call	
log lumber	
abundantly profusely	
nuke microwave zap vaporize	
arctic icy polar glacial frigid gumshoe rubber	
endangerment danger hazard peril adventure chance risk gamble jeopardy	
die perish expire go croak conk pass choke exit	
auntie aunt aunty	uncle
smack roar thunder roaring boom	
boldness face nerve brass cheek buttock	
loose liberate free release	confine
attack snipe rounding polish assault round	
stern exacting strict rigorous rigid	indulgent
canny ingenious apt clever cunning cagey	
dub knight horse	
frustrate crucify dun devil bait lecture jaw vex cod scold	
butt goat laughingstock stooge	
afterthought rethink	
panther cougar puma painter	
plunge diving dive nosedive	
repeat doubled duplicate replicate double	
code cypher cipher	
finesse delicacy diplomacy discretion dainty treat fragility goody	
unresolved undetermined undecided open	
nosey nosy snoopy prying	
mike microphone	
roadblock barrier	
contrite remorseful	
enraged infuriated angered furious anger	
yaw gawk yawn gape	
acknowledgment credit mention quotation quote reference citation cite	
stiffness severity validity hardship rigor harshness hardness	
displacement transformation rendering version translation	
reveal unveil uncover	veil
feature blow boast gas brag tout sport bluster	
exclaim shout weep cry scream holler outcry yell squall	laugh
volume mountain raft aggregate deal pot masses peck plenty sight	
pickle pickled	
negligee wrapper wrap wrapping	
last terminal net concluding final	
salary wage earnings pay remuneration	
circus carnival	
arc release acquit free dispatch complete	enlist convict fill charge
fellow buster dude	
interconnected align coordinated coordinate unified organize matching organise	
informative illuminate enlightening illuminating enlighten clear	
braid twine lace plait spike fortify	
departure remainder dispute deviation conflict difference	
summarize sketch survey restart resume	
heir successor replacement	
reply answer respond	
dream dreamed daydream	
carpet carpeting rug	
title backup championship backing patronage	
see believe debate deal study moot consider regard take view	
trace decrypt decipher decode	
shriveled wither sear shrivel shrink withered shrunken	
messenger courier	
medial median average	
release handout	
nervousness nerves	
sleepless insomniac watchful	
worm wriggling twist writhing wiggly squirm wriggle wrestle writhe	
acquire evolve develop	
entree admission admittance access	
farting nose weave fart wrap tip steer hoist wander	unwind
decoration ribbon palm medal medallion thread	
reply answer reaction response reception	
locker footlocker	
matter thing subject topic count affair issue weigh	
rampant rearing	
psychopath sociopath	
robbery looting	
linger lounge lurk loaf hover tarry loiter	rush
hoop basket	
amused amuse divert entertained diverted	
welt lather slash strap whip thrash flog gash cut stroke	
zoo menagerie	
tool creature puppet marionette	
trick clown caper joke prank	
delicacy exquisite nice dainty treat squeamish goody prim prissy	
gran nanna nan grandma grandmother granny	
net pillaged displace terminate can sack raped sacked dismiss	hire
strong fond heater tender quick warm warmer ardent affectionate	cool
shun banish ban	
judgment assessment judgement appraisal	
but just merely only simply plainly	
also likewise besides alike too similarly	
digress depart	
indicate sign signaling signal point	
homicidal murderous	
clot clog clotted clogged	
arouse awaken waken awake wake	
howl roar bellow holler boom holla thunder bellowing hollering wail	
