black blackness blacken	white
beat beatnik	
forfeit forego relinquish forgo waive	claim
hold maintain represent guard oppose defend fight support champion	prosecute attack
operation surgery	
recommendation tribute testimony testimonial	
invest induce seat initiate	
blah rant claptrap	
bloodsucker leech	
velvet velvety	
trace lead suggest suggestion speck tinge touch pinch mite tip breath hint steer clue wind jot	
breadth width	
burst outburst gush effusion	
twenties twenty	
stagnant dead	
ceremonial ceremony	
roast rib guy ridicule	
purging purify puke sick scour barf vomit flush sanctify honk cast chuck purge cat spew	rehabilitate
move motivate incite prod propel instigate prompt	
sympathy understanding realise intellect see interpret infer agreement empathize read sympathize sympathise apprehension translate reason understand realize savvy	
exactly precisely just	
twirl eddy twiddle swirl whirling spin reel tumble whirlpool whirl	
hitch interference preventative hindrance preventive contraceptive	
brilliance richness splendour splendor grandeur magnificence	
torn rupture pull pluck lacerated buck bust charge tear mangled shoot snap	
stench reek stink	
practically much lots often	little
xxx thirty	
preface precede inaugurate enter insert innovate premise present enclose introduce acquaint	
treacherous unreliable	reliable dependable
vassal liege	
deserve merit	
receding niche recess corner recession	
awaken wake alive waken awake alert arouse	asleep
hurting anguish hurt nuisance bother trouble pain annoyance	pleasure
acquire acquiring adopt produce learn assume take grow getting win evolve develop gain get	lose
southeast southeastern	
dress trot snip jog crop clipped clip nip prune trim lop	
stability constancy	
board room	
opposite frigid pivotal arctic icy glacial polar	equatorial
hot savoury juicy savory blue naughty racy spicy	
dickens annoy deuce fiend heller rile gravel vex rag nettle bother ogre demon irritate monster daemon daimon devil	
counterpoint contrast	
handcuff cuff	
brainwave insight brainstorm	
waterproof raincoat	
beat ram pounding throb pound hammer hammering impound lumber poke thump throbbing	
reminder monitor	
everlasting perfect utter virginal stark virgin saturated complete unadulterated consummate virtuous vestal staring pure gross	impure
printer pressman	
stick cleave hang cling adhere	
fermentation ferment agitation work turn unrest sour	
confirmation check verification	
minute min	
grandpa granddad gramps grandad granddaddy grandfather	
wring pull sprain twist spanner rick turn wrench	
malleable pliable waxy flexible elastic	
covert concealment secrecy privacy hiding cover screen concealing	
reestablish reconstruct rejuvenate fix mend reinstate repair doctor restore bushel regenerate	break
acquit expect extend deport stockpile transport contain run transmit sway conduct impart convey channel bear behave express pack hold dribble carry take persuade post stock	
greeting greet salutation recognize recognise	
release rout discharge oust expel eject exhaust	
garish tawdry loud cheap gaudy forte tacky flash trashy flashy	piano soft
bronze tan	
curvy stacked busty voluptuous	
spot snoop sleuth sight catching detection stag spy spying spotting	
negative minus	plus
plethora embarrassment	
tam tammy	
virtually nigh near almost most about nearly	
dress adorn drape clad robe apparel clothed garb garment cloak invest clothe	undress
shifting shifty devious	
elementary chief master main primary principal elemental basal	secondary
poof frustrate endanger fagot pansy faggot thwart scotch cross expose foil fag peril spoil queen fairy queer nance	
lump hunk	
supporter garter	
fragmented split fragment disconnected	
website site	
ice frost frosting icing	
sue process action	
betrayer traitor	
mining dig digging excavation	
imbecile retard cretin changeling moron idiot	
do answer dish helping service help process serve portion serving suffice function assist attend	
golfing golf	
study learn conditioned check learned erudite see ascertain knowledgeable knowing determine discover hear acquire read teach con memorize instruct take memorise watch	
pattern convention normal rule recipe formula expression	
lynch lynching	
male virile manly	female
association tie affiliation	
ply render add cater provide furnish supply issue	recall
host innkeeper	
hoagie grinder hero substitute sub bomber torpedo submarine wedge	
dessert sweet	
dot pane dose superman acid	
soonest earliest	
bed know bally bloody screw crashing flaming fucking blooming fuck hump bonk blinking love bang screwing jazz shag ass eff	
abdicate renounce	
flux fuse meld combine unify merge mix unite blend	
auction auctioneer	
grievance score grudge	
shed shedding drop peeling slough spill cast throw	
rout mob rabble gouge root expel	
nut en	
legitimize legitimate legalize	outlaw
delectable luscious scrumptious yummy delicious	
trick privy bathroom lavatory can john toilet	
gobble bolt	
repair compensation recompense compensate	
cuss assert curse affirm depose swan rely bank aver trust swear verify blaspheme	mistrust
oasis harbour harbor haven seaport	
spar sparring	
bait code twit cypher gull dupe cod rally rag cipher ride slang tease taunt fool	
bulb lightbulb	
pitiable miserable ridiculous poor silly pitiful hapless wretched pathetic	
doomed damned goddamn goddamned goddam curse infernal blame darned blessed damn blasted cursed blamed	bless
glorified glorify proclaim	
late tardy belated	
celebrated renowned notable illustrious noted famous famed	
intuitive visceral	
raid foray bust	
diaphragm stop	
basic introductory	
advance promote hike further encourage boost	
potty throne pot crapper commode stool can toilet	
mixture variety classification assortment potpourri motley smorgasbord	
convince change exchange commute convert	
purchase corrupt buy bribe	sell
cemetery graveyard	
see envision figure visualize visualise fancy foresee image picture project	
obnoxious objectionable	
annoy rile gravel vex fret fray rag nettle bother scratch irritate gall rub chafing devil	
asylum refuge sanctuary	
doomed damned designate lost doom sentence fate unlucky condemn cursed fated	
allegiance fealty	
blast attack snipe flack onset attempt approach assault onslaught flak fire round	defend
strong secure hard solid impregnable warm firm substantial potent stiff	impotent weak
magnate power king tycoon mogul baron	
wound malice venom spite hurt injure bruise nastiness offend	
queasy nauseous puke pale nauseated macabre disgusted ill vomit purge ghastly demented sick barf grisly crazy unbalanced cast chuck gruesome mad wan honk unhinged disturbed cat spew grim	well
repeal annulment	
rib hombre roast ridicule cat bozo guy	
ceremonial ceremony	
scatter feast broadcast disperse ranch diffuse open unfold circulate bedspread banquet dispersed propagate spreading gap distribute paste spread	gather fold
intentionally deliberately purposely	accidentally unintentionally
djinn genie	
disgust revolt repel sicken	
sum number aggregate come add tot totality total tally amount	
junction crossroads occasion juncture joint join	
interrupt disrupt	
sum core centre center heart meat gist substance kernel nub essence marrow	
spousal nuptial bridal	
rhino rhinoceros	
ironic wry dry	wet sweet
pulsing pulse impulse throb	
barrage battery bombardment shelling	
perverse subvert perverted pervert depraved corrupt profane	
decimate annihilate eliminate extinguish eradicate	
dip deteriorate dismiss neglect drop flatten degenerate discharge miss fall dribble pearl throw unload cast spend cliff drip expend overlook shed dangle swing bead fell sink omit	recuperate sharpen
confuse confusing fox confound jumble flurry perplexing puzzling throw obscure blur	
prefer favor favour favored choose opt preferred favourite pet preferable favorite	
steeple spire	
knock criticise criticize	praise
medicate medicine	
ostensibly seemingly apparently	
exemption freedom	
being organism	
stick junction roast articulate juncture joint join reefer spliff	separate
oblige hold reconcile lodge admit fit accommodate adapt accommodating suit	
cart pull tangle haul puff drag draw hale trail scuff sweep dredge	
bargain buy slip steal	
pick option selection alternative choice	
sizing size	
buy bribe bargain purchase corrupt steal	sell
intern houseman	
mariner seaman pitch tar gob	
shared part divided divide fraction split separate	unite multiply united
abstract scheme outline sketch draft synopsis	
erupt flaring flare flame	
cripple lame	
recoil boot kicking complain kick plain	cheer
conference league	
xl forty	
finish culture polish refinement cultivation	
obscenity filth smut	
axe ax bloc axis	
feigned assume pretend affect feign sham simulate	
barbed thorny prickly spiny	
narrator teller storyteller	
unlawful outlaw illicit outlawed unconventional improper wrongful illegitimate	lawful
lead runway cross dog course chase rail running cut tail tag trail traverse cover track racetrack path rails	
imagery imagination imaging	
falsely incorrectly	
shaving sliver splinter	
clink jailhouse pokey jail slammer	
concession allow grant award assignment concede accord give cede allot yield	deny
rival match equal touch equate peer be	differ
thrust pierce	
open unfold blossom extend stretch spread	fold
dame chick lady dam doll skirt bird madam wench	
apparition spook phantom shade specter wraith ghost spectre	
contest competition contend	
counter anticipate foresee	
wrong damage	right
penetrate cluck flick tick chatter dawn snap clack click	
program send air programme disperse broadcast transmit diffuse circulate beam propagate distribute spread	
retribution vengeance payback	
politeness subtlety niceness	nastiness
cop abstract snitch cabbage pluck sneak rob draw pinch swipe addict solicit lift hooking snare plume soak hook crochet fleece	unhook
raspberry boo snort snicker bird hiss hoot huff	
grasp delve lodgings jab excavation digs shot slam digging toil stab fag excavate shaft prod compass labor apprehend savvy comprehend poke barb grind hollow dig labour pad	
crude primitive rude natural raw	civil
nourishment nutrition sustenance	
centralized concentrate	
aeroplane plane airplane	
tongue clapper	
attain make realise acquire profit realize advance derive win benefit hit gain earn reach gather clear	reduce lose
feverish hectic	
minimal minimum	maximum
matte mat mater flat matt	
flower charge flush even thrill prime blossom sluice level kick rush purge outpouring crimson scour bang gush bloom peak boot heyday blush	
bastion citadel	
crop browse range crease pasture grazing graze rake	
threatening morose moody lowering glum dark heavy sullen sour dour	
b barn	
fly vaporized zap vaporize evaporate vanish	
minuscule little fiddling short trivial slight small petty	tall much large big
ear spike	
deary darling favourite pet dearie favorite ducky	
surprise storm	
triad trine leash trey threesome trio three trinity	
twitch twitching tweet nip pinch jerk twinge flip squeeze	
divination prophecy	
fertiliser fertilizer	
copy repeat replicate double duplicate	
smartly vigorously	
fudge dodge hedge evade duck elude skirt parry circumvent	
chime gong bell	
benny sesame	
password parole word	
limitation limit set confine fix restrict bound boundary throttle specify define restrain determine	
linger lounge lurk loaf hover tarry loiter	rush
statistics statistic	
ration rationing	
deal fear like aid tending charge guardianship attention maintenance handle precaution caution tutelage upkeep manage concern worry care wish	
snort huff	
specter shadow apparition phantom spectre	
helpless doomed misplace preoccupied suffer lost confounded baffled confused bewildered recede missed disoriented miss lose	profit won found find win gain saved keep
entrap frame trap snare	
poise chill cool	heat warm
dishonour shame dishonor assume disgrace pretend affect feign sham simulate	honor
boiler kettle	
limb branch arm	
harmonium organ	
poop nincompoop ninny	
leave confide trust entrust commit	
boastful bragging crowing swelled prominent larger handsome grownup big bountiful large braggart liberal expectant adult heavy bigger giving grown magnanimous great bad	little small
tight besotted remains sloshed firm unwavering plastered strong smashed rigid clay unshakable cockeyed soaked pissed potent steady stiff steadfast wet corpse cadaver loaded	impotent
spout rant ranting rave blah jabber claptrap	
lithium li	
pilot voyage sail navigate	
sanctity holiness	
cancel scouring scrubbing scrubs scrub scour scratch gown bush	
helicopter pearly chop cleaver chopper	
transmitter vector	
memorize con learn memorise	
advertisement advertising advert ad	
blurt boner sin goof bloomer ejaculate blunder fumble boob botch bungle	
yon yonder	
absent off remove dispatch withdraw take hit slay transfer murder	
slip stumble trigger activate misstep travel spark trip jaunt	
counter sideboard buffet	
counter envision anticipate foresee	
anchorman keystone linchpin anchor ground backbone	
batting secure batten	
tailor sew stitched sewed sewn stitch	
gruff crusty	
tailspin spin	
orchard plantation grove	
brake bracken	
pretty jolly moderately somewhat reasonably fairly	
cereal grain texture	
cell cubicle cellphone cadre	
readiness zeal eagerness	
brow forehead	
physical forcible	mental
blessing consecrate sign approving boon bless sanctify thanksgiving hallow approval grace	desecrate disapproval curse
channel transport transmit carry conduct impart convey transfer	
discriminate part break divide sort tell differentiate classify split branch separate class fork distinguish	unite
intervene interfere	
filth soil smut grime crud obscenity dirt grunge nastiness grease skank stain	
bobble blow bumble spoil muff bollocks fluff fumble botch bungle	
make establish building progress edifice construction construct build	
pitch flick somerset riff sky interchange twitch tack alternate leaf switch flip pass throw somersault toss thumb	
lecture jaw scold talk lecturing rag chide berate rebuke reprimand	
neutralise waste liquidate negate neutralize	
mentality mindset outlook	
straight heterosexual	homosexual
overseas afield abroad	
recuperate recoup recover	deteriorate
atrocious grievous grotesque monstrous	
chip microchip	
beginner novice initiate	
microbe bug germ	
see live know receive feel experienced experience have get	inexperienced
run ravel unravel untangle	ravel knot
alone unparalleled unique	
insane mad	sane
see insured ascertain secure guarantee control check insure cover ensure assure	
please delight plea	displease
take cinematography film filming shoot	
picnic snap cinch breeze pushover outing	
devil demon ogre fiend monster	
blinker flasher exhibitionist	
leukemia leukaemia	
vat tub	
make pee puddle wee urinate piss	
groping fumble grope	
hunk swelling glob lump gawk chunk lout oaf ball goon clod clump	
industry fabricate manufacturing invent manufacture construct fabrication	
das pika rabbit coney	
analyze canvas study canvass analyzed analyse dissect examine	synthesize
fudge dodge hedge evade duck elude skirt parry circumvent	
prime establish found base foundation strand anchor ground grounding	
evacuate empty void	
preparedness cooking cookery grooming prep planning preparation training readiness provision homework	resolution
grouped sorted group	
figure enter insert embark participate enroll record introduce recruit	exit
target aim objective object	
hit collision	
morbid diseased pathological	
trap bunker dugout	
bottom rump stern bun fanny tush ass posterior keister backside butt behind buttocks buns prat seat can rear tail arse bum roll	
gazillion zillion million trillion billion	
bed know screw jockey fucking fuck hump bonk cheat love bang shaft screwing jazz shag ass eff	unscrew
hatch concoct	
arouse make energize stimulate aroused stimulated stirred rush cause hasten provoke shake have excite stir induce get brace	stifle sedate
tolerant kind genial	unkind
extra duplicate	
cleverness ingenuity	
sliver splinter	
kitty kitten	
mix incorporate integrate	disintegrate differentiate
ley lea pasture	
corned cured corn	
declared express state tell stated submit say	
anyplace anywhere	
deal embrace extend breed shroud overlay handle treat continue covered comprehend brood cross report hide plow track traverse hatch cover insure address compensate	bare uncover
put regulate guild prescribe arrange ordering society decree lodge tell club place rank consecrate rate range edict order dictate govern grade fiat say	disorder
unfreeze meld melted run disappear evaporate liquid dissolve fade melt mellow thaw	
mundane terrestrial planetary	amphibious
overtake submerge overwhelm drown overcome deluge overpower	
normalcy normality	abnormality
hire enlist lease engaged engage charter prosecute booked wage pursue take lock operate employ rent busy absorb occupy plight occupied mesh	fire disengage
icky lousy stinky crappy stinking shitty gooey rotten	
stare gaze	
burly husky beefy strapping	
look depend calculate bet count reckon	
mountain raft heaps rafts deal lots pot peck tons plenty sight oodles lot flock gobs wads mint stack loads slew wad batch mass pile piles mess stacks dozens scores spate heap	
watchman watcher	
mayo mayonnaise	
title gentle	
vocalist singer	
ineffective ineffectual futile unable	effective
spineless gutless	
berth spot office billet part power bureau position authority post agency place function situation role	
envision see figure visualize picture plan visualise projection design fancy throw undertaking cast labor propose jut image task project	
thoughtful attentive	
negative veto	affirmative
beg woo tap court romance solicit hook	
calmness composure steady quiet still tranquil quieten serene calm sedate lull	stimulate stormy agitate
headache concern worry	
leap bound jump leaping spring bounce	
make pee puddle wee pool urinate muddle piss	
ml mil cc	
look await expect anticipated wait awaited	
telly television tv video	
abstract sneaker stealthy snitch canary mouse cabbage sneak slip stalker prowler pinch swipe fink lift furtive sneaky hook creep	
bed know screw fucking fuck hump bonk love bang screwing jazz shag ass eff	
anyhow anyway anyways	
barbecue barbeque	
belittle diminish fall decrease lessen	increase
fiddle violin	
fond doting tender adoring warm partial affectionate	
opportunity chance	
topaz bronze sunburn tan tangent burn suntan	
involve need expect ask enquire take demand inquire require	
front figurehead	
observatory lookout	
approximate caliber guess gauge estimate judge calibre gage bore	
burden sum core centre center heart meat gist substance kernel nub effect perfume essence marrow	
b barn	
look smack tone feel savour relish savor season nip flavor tang spirit feeling smell flavour	
prenuptial premarital	
volume intensity bulk book mass	softness
draw appeal attract pull	repel
incessantly endlessly continuously	
annihilate reject extinguish eradicate decimate pass eliminate	
revolt repel disgust sicken insurrection rebellion rising uprising	
lead top precede run moderate take go conduct guide extend contribute chair leave pass head result direct	follow
nibble picking foot blame pluck pickings piece taking pick beak peck clean cull	
limit set outlined fix specify defined define determine	
nitwit doofus dimwit	
wipe hitch itch fray fret scratch snag rub	
clever cunning ingenious	
dominion district territory soil	
anchorman keystone linchpin anchor ground backbone	
obscene raunchy repulsive abhorrent salacious repugnant detestable lewd	
enemy foe opposition	friend
godlike divine	
disc platter saucer disk record	
ironic wry dry	wet sweet
awaken wake viewing ignite waken inflame heat awake aftermath arouse rouse	sleep
muzzy groggy foggy blurred fuzzy hazy misty blurry dazed	
storekeeper shopkeeper tradesman	
avail services service servicing help overhaul serve serving	disservice
design pattern blueprint draft draught	
raspberry boo snort snicker bird hiss hoot huff	
soften shock cushion buffer	
barman bartender barkeep	
assassin bravo	
backlog allow hold book reserve appropriate modesty substitute reserves militia stockpile reservation	
smack stench fume reek smell stink	
undertake harness tackle	
opening orifice porta open unfold afford give scuttle initiative gap possibility spread	close fold closing
dress do stage order arranged set put format ordered arrange staged	
breakdown dislocation	
logistic logistical	
fireball powerhouse	
clamor clamour clamoring	
fondly lovingly	
posture pram pusher stroller coach carriage bearing rig	
loyal fast firm patriotic	disloyal unpatriotic
conserve save uphold maintain preserve continue keep	discontinue
ivory horn tusk	
sliver skimming shaving grazing shave plane trim	
net profit cyberspace network profits mesh sack web earnings clear internet	
skid slipping mistake sneak slip slithering slide err slew steal	
fruitcake freak testicle egg crackpot nut en ball crank junkie junky addict screwball	
name phone anticipate cry scream holler birdsong visit foretell claim squall promise outcry telephone predict song yell call shout ring address bid	
resignation surrender	
captivity enslavement	
qualify characterize limiting dispose passing restrict specify modify condition modification pass qualifying	disqualify failing
pelt pepper	
compliment plume pride congratulate	
sanitarium sanatorium madhouse nuthouse	
move displace impress stirred run act go affected motivate touched affect incite moved strike proceed propel travel prompt	stay rest refrain unmoved
humanist humanitarian	
tyke savage boor barbarian peasant	
wad ram wading pack bundle wade jam cram compact	
dim blinded blind	
wrinkled wrinkly	
rib costa	
fall advert hang flow knack bent cling attend	
satisfy satisfied quenched fulfill meet fulfil fill	
glee mirth	
hall lobby foyer vestibule	
compulsory mandate mandatory required	
comply follow	
papal apostolic	
monitor supervise	
infatuated potty throne pot smitten crapper commode tipsy stool enamored can toilet	
repair hangout haunt resort	
kisser countenance mug visage	
satisfaction gratification	
storey story floor level	
lucky thriving booming flourishing prosperous golden comfortable favourable easy favorable roaring	
contrite remorseful	
slide slip skid slew	
intestine bowel gut	
allegiance dedication loyalty commitment inscription	
lancers lancer	
phrase idiom word articulate formulate	
said aforementioned	
reenact enact	
anesthetic anaesthetic	
explore research search	
bingo lotto keno	
facelift lift	
lackey crawler toady flunky	
watertight unshakable bulletproof	
muddle jumble smother clutter	
gnome dwarf	
sunset sundown	sunrise
crawfish withdraw retreat recall take adjourn draw recede retire swallow disengage remove	engage deposit advance
pass communicate transmit convey commune	
agitation fermentation unrest ferment	
drinker juicer	
harmonica harp	
nobility aristocracy grandeur	
bellyache shout roar cry holler bellow scream gripe bitch holla grouse crab bellowing beef hollering hollow yell squawk squall call roaring	
savanna savannah	
outrage dirt scandal	
demonstrate prove show depict exhibit designate testify showing indicate demo record present express screening evidence read point register usher picture viewing establish render display	disprove hide
crawfish crayfish	
potential possible	impossible actual
stress accent emphasis	
courage bravery	cowardice fear
voice sound articulate singing vocalizing	
breathed breathe rest emit	
port interface	
impasse standstill deadlock stalemate	
reel twirl whirl spin	
concession yielding grant	
desertion abandonment forsaking desolate abandon forsake desert	
secular temporal layman worldly lay profane	religious clergyman sacred
bother inconvenience trouble	convenience
just equitable	
vet veteran veterinarian veterinary	
heights highschool high	low
explicit utter express expressed state carry extract uttered show convey	implicit
amulet talisman	
fixer methadone	
trickle filter dribble	
cows oxen cattle	
obstruct block handicap hinder impeding hindering embarrass impede clogging hamper blockade	
zigzag zig zag	
battery shelling onslaught outpouring bombard barrage bombardment	
raise elevate advertise push upgrade advance promote further encourage boost	
vacation holiday	
snatch kidnapping	
resist defy hold refuse dare withstand	
mac macintosh mackintosh mack	
resist defy refuse deny reject decline	accept allow admit
assert insist	
assess appraise judge value measure evaluate	
pensive pondering brooding meditative reflective	
imprisonment internment	
analyze dissect analyse	synthesize
tangled tangle involved convoluted snarl drag mat ravel knot sweep	unravel
pace gait	
yet hitherto	
torment torturing torturous agonizing rack torture excruciating harrowing	
romp frolic frisk skylark sport lark	
generate grant feed break pass sacrifice collapse give impart present yield make hold consecrate return apply contribute afford open commit hand pay devote reach gift have establish founder render dedicate leave throw	starve take
volume script hold book reserve ledger record	
cased case encased	
register designate express establish usher testify evidence render read record demonstrate prove demo show depict indicate present point picture exhibit	disprove hide
poach poaching	
chandelier pendant	
spout rant rave gush jabber raving	
boozy drunken	
titty heart embrace bosom tit hug breast squeeze boob knocker	
wheat straw	
legend caption fable	
loafer bum	
troubled disruptive turbulent tumultuous	
loose wanton light promiscuous easygoing leisurely prosperous comfortable gentle easy soft	difficult uneasy
launch plunge found launching establish	abolish
delete off cancel cancelled scrub offset scratch	on
relieve brighten lighten	darken
guerilla irregular rebel guerrilla insurgent	
feathered square feather	
pox syphilis	
unknown unnamed nameless unidentified	
rival contender competitor competition challenger	
involve need exact ask requirement take demand require	supply
hypnotic mesmerizing hypnotize	
copycat ape	
lockjaw tetanus	
oblige compelling compel	
match couple mate pair matching parallel twin duplicate counterpart	
class family category	
putz dick bite dent cock shit slit peter tool motherfucker shaft pecker goad bastard scratch pricking twinge asshole prick sting incision	
queasy sickening offense loathsome nauseous offensive nauseating offence unsavory vile	savory defensive
recoil ricochet bound spring rebound bounce	
rationality reason	
confining restricting limit limiting set confine fix restrict bound specify throttle define restrain modification determine qualifying	
swerve arc crook arch twist curve kink trend cut bend curvature veer sheer wind curl bender slew	
inadequate forgetful little light poor curt short shortsighted scant	tall long
elevation altitude height	
commend remember recall commemorate retrieve think recollect	forget
tan tangent	
question interview	
tart prostitute whore harlot	
government governance administration regime governing politics authorities	
prosperous golden lucky favorable favourable	unlucky
acquire evolve develop	
vapour evaporation blues vapors vapor	
interchangeable similar standardized	
intrusion intrude sin violation overstep trespass	
wrestling grappling worm twist squirm grapple wriggle wrestle writhe	
ladder run ravel	
irritating annoying pestering rile annoy gravel vex teasing rag vexing painful nettle bother pesky irritate bothersome devil	soothe
population universe	
recoil backlash backfire	
jaundice rancor bitterness gall resentment bitter	
resist fend stand	
corduroy cord	
spinster spinner	
loot lolly cabbage sugar moolah dough shekels clams dinero lettuce scratch kale bread	
well swelled swell big	
do run execute fulfill accomplish fulfil perform action	
compliment congratulate	
dumb dense obtuse slow dim dull	acute
villain scoundrel	
server waiter	
rundown summation	
articulated formulate articulate joint pronounce phrase word say	
woo court wooing romance solicit courtship courting suit	
x ex	
evaporate vanish zap vaporize fly	
cap capital	
quash empty avoid vacuum annul evacuate vacancy nothingness emptiness null void	validate
chile chilli chilly chili	
wristband bracelet bangle	
gutsy plucky spunky feisty	gutless
hardheaded pragmatic practical	
cowl hood bonnet	
jaunty spiffy spruce natty snappy dapper dashing	
transplantation transplant	
agree equate rival match couple meet lucifer equal tally touch mate fit check mates pair peer oppose correspond twin pit catch	disagree
leukemia leukaemia	
delinquency dereliction	
tangle maze snarl drag mat ravel knot sweep	unravel
penetration incursion	
deserter defector	
neanderthal boorish	
mire mud clay muck	
deary darling favourite pet dearie favorite ducky	
narrator teller storyteller	
propose counsel notify advise suggest	
acquaintance familiarity friend	stranger
cover compensate	
flower blossoming unfolding blossom flowering bloom	
chummy slurred dense thick compact deep stocky	thin
tops top tip elevation summit pass crown super exceed overstep crack acme crest upside peak lead pinch transcend meridian cover height ace pinnacle clear	bottom
slaver drool dribble drivel slobber	
pedestrian walker	
doctor doc physician	
frustrate crucify rage dun devil bait lecture jaw passion vex cod scold craze storm tease madness chide annoy rally rag ramp fad fury irritate taunt rebuke twit rile torment gravel berate cult nettle ride bother reprimand	
toying dally flirtation minx romance flirting vamp flirt toy tease play mash butterfly	
pit stone stoned	
chipping chip nick	
tumble crumple decay crumble collapse	
gala blowout jamboree	
radio tuner wireless	
paralysis palsy	
disarming disarmament	armament arming
sum marriage wedlock brotherhood union pairing coupling unification join mating uniting matrimony	separation
fanatic fiend	
trickle filter dribble strain	
demonstration reflection manifestation expression	
orca killer	
relationship kinship	
root ancestor ascendant	descendant
aesthetic aesthetics	
pat slick glib	
inauguration startup	
persist persevere	
neck cervix	
exert exercise wield maintain	
mindful aware	
nix nada cypher zilch zero nothing cipher aught nil zippo zip naught null	
spongy squishy	
report account study theme reputation cover paper describe story composition	
prosperous golden lucky favorable favourable	unlucky
clocks time clock	
lead chairman chairperson moderate chairwoman chair president	
caress fondle	
charge flush grading level dismantle even point leveling demolishing raze	raise
tormented torment anguished tortured torture rack	
reclaim amend correct rectified remedy reform repair refine rectify right regenerate	falsify
scrimmage melee	
inspire inhale	exhale
buggy cracked bats screwball loony daft barmy crackpot crackers nut balmy fruity loopy crank junkie loco freak testicle kooky batty wacky ball nutty bonkers fruitcake haywire en dotty egg nuts junky addict	
hire lease renting charter engage let take rent rental	
smart ache hurt suffer yearn pine languish yen aching	
clamp clinch	
succeed win follow	precede fail
chink clink tink tinkling tinkle	
rhymed rhyming rhyme	
lonesome only solitary exclusive lone sole	
cheat chisel	
union marriage wedlock matrimony	
order telling relation state evidence revealing weighty impressive tell recite differentiate narrate distinguish singing notification recount assure separate telltale tattle say	
seppuku harakiri	
wide astray	
recap review	
gnome shadow midget dwarf	
reckless blizzard rash heady	
methamphetamine trash meth chalk glass crank ice	
instant second moment twinkling flash crying minute heartbeat jiffy wink instantaneous insistent	
recipient receiver	
banality cliche commonplace bromide	
okay okey	
strive attempt enterprise endeavor try effort endeavour	
restless unsatisfied	
comment noticed acknowledge observe find remark notice detect note mark discover	unnoticed ignore
saloon pub	
participant player	
pester bug badger tease	
selflessness altruism	
quit digress part depart start deviate vary go leave	come stay conform
dependence addiction dependency	
desperately urgently	
blot smudge spot slur dim blur smear	focus
enrollment registration adjustment	
editing cut delete edit	
freeze block frozen rooted icy glacial fixed frigid suspend frosty	unblock unfreeze boil
sayonara adios cheerio goodbye adieu bye arrivederci	
sham bear presume acquire adopt wear don assume take strike accept feign seize simulate usurp	
jiggle wiggle	
tornado crack twister	
overtake overpowering overwhelm overcome overpower overwhelming	
trickle filter dribble strain	
memo memorandum	
pedestrian walker	
meager meagre stingy	ample
hold book reserve booking engagement reservation	
reference propagation extension wing annex	
fizzing fizzy	
hear mind listen heed	
ruffle bubble rippling ripple babble	
pulverized powder pulverize demolish powdered	
gutsy plucky	gutless
marvellous tall improbable marvelous	short
roost light rod perch pole alight rest	
enormous tremendous	
revolt queasy nauseous disgust sick sicken nauseated	
caster castor beaver	
unearthly weird uncanny	
realise see interpret infer empathize read silent sympathize sympathise translate understood understand realize	
recoil boot kicking gripe complain bitch charge flush beef bang squawk kick rush thrill plain	cheer
recoil backlash backfire	
instability imbalance	balance symmetry
shaft re beam radiate ray	
see believe debate deal study moot consider regard take view count deliberate think conceive weigh reckon	
come acclaim herald hail	
fax facsimile	
examiner tester	
levitate hover	
bottom penetrate bed rump stern fanny tush ass posterior keister backside butt underside behind buttocks freighter buns prat seat can rear tail fathom arse bum	top
hive beehive	
keeping memory retention holding	
boarder lodger	
stray wander range vagabond tramp swan ramble roam rove drift cast roll	
fierce blast cruel barbaric wildcat ferocious crucify vicious brutal barbarous fell uncivilized savage feral wolf beast wild brute barbarian furious	
giant gargantuan jumbo	
firework pyrotechnics	
multiply breed procreate reproduce manifold	divide
loose informal cozy intimate	formal
pertain concern touch refer relate	
paraphernalia train pitch gearing gear	
paedophile pedophile	
dependent chandelier pendant	
sop drench plunge dip duck dunk soak douse	
hothouse conservatory	
gleam glow radiance gleaming freshness beam burn radiate glowing shine	
shack hut hovel shanty hutch	
toll cost price bell	
carte card bill wit menu lineup board posting wag poster placard notice tease	
pop tonic soda	
watershed landmark	
stammer stutter bumble falter	
squat chunky lumpy stumpy dumpy	
overture preliminary advance approach prelude	
embrace hug squeeze bosom	
floor plunge dump deck ditch	
spectator watchman viewer looker witness watcher	
portraying render portray portrayal draw depicting show depict describe picture depiction	
trash pan	
master overtake overwhelm overcome defeat overpower subdue	
nationalism patriotism	
redness loss red	gain
education teaching training instruction breeding	
aberration distortion	
format arrange	
orbiter satellite	
smartly vigorously cleverly	
serpent snake	
grasp compass apprehend dig savvy comprehend	
ms manuscript	
explosive volatile	
option selection pick extract survival choice	
whacko wacko nutter	
dumplings dumpling	
nightgown nightdress nightie gown	
twinkle wink winkle blink flash	
labour laboring toil toiling grind fag labor dig	
series serial	
washing wash laundry	
blast wildcat crucify savage wolf beast brute barbarian	
bode omen predict foretell forecast augur	
geek bit eccentric peel flake chip fleck oddball scrap snowflake	
overturn upset turnover	
trunk body torso	
nomadic stray wander mobile range vagabond swan tramp ramble roam wandering cast rove drift roving peregrine roll	
source reservoir	
objective documentary	
supporter jockstrap jock	
chitchat jaw chatter visit gossip chat schmooze	
involvement matter liaison thing amour occasion affair intimacy function	
troubling distressing worrisome disturbing worrying	reassuring
bigwig kingpin	
